Source sentence,Answer sentence,Event1,Event2,labels
" causal </s></s> unrelated </s></s> Forecasters say the picture will get worse because more rains are on the way . No one was hurt , but firefighters ordered the evacuation of nearby homes and said they 'll monitor the shifting ground . ",rains has no relation to evacuation ,rains ,evacuation ,NONE
" causal </s></s> unrelated </s></s> Forecasters say the picture will get worse because more rains are on the way . No one was hurt , but firefighters ordered the evacuation of nearby homes and said they 'll monitor the shifting ground . ",say has no relation to said ,say ,said ,NONE
" causal </s></s> unrelated </s></s> StatesWest Airlines , Phoenix , Ariz . , said it withdrew its offer to acquire Mesa Airlines because the Farmington , N.M., carrier did n't respond to its offer by the close of business yesterday , a deadline StatesWest had set for a response . ",respond is the cause of withdrew ,respond ,withdrew ,Cause-Effect
" causal </s></s> unrelated </s></s> StatesWest , which has a 7.25 % stake in Mesa , said it may purchase more Mesa stock or make a tender offer directly to Mesa shareholders . However , StatesWest is n't abandoning its pursuit of the much-larger Mesa . ",offer has no relation to abandoning ,offer ,abandoning ,NONE
" causal </s></s> unrelated </s></s> At the same time , the sheer size of the loss , coupled with a slowing of orders , made some securities analysts wonder just how strong that turnaround will be at the computer maker and defense-electronics concern . ",loss is the cause of wonder ,loss ,wonder ,Cause-Effect
" causal </s></s> unrelated </s></s> At the same time , the sheer size of the loss , coupled with a slowing of orders , made some securities analysts wonder just how strong that turnaround will be at the computer maker and defense-electronics concern . ",orders is the cause of wonder ,orders ,wonder ,Cause-Effect
" causal </s></s> unrelated </s></s> In addition , Unisys set up an unspecified reserve -- apparently $ 60 million to $ 70 million -- to cover the minimum amount it will have to pay the government because of its involvement in the defense-procurement scandal . ",involvement is the cause of pay ,involvement ,pay ,Cause-Effect
" causal </s></s> unrelated </s></s> That would be a huge problem if it were to continue , because Unisys is betting its business on the assumption that customers want to move away from using operating systems that run on only one manufacturer 's equipment and toward systems -- mainly Unix -- that work on almost anyone 's machines . ",betting is the cause of problem ,betting ,problem ,Cause-Effect
" causal </s></s> unrelated </s></s> That , he said , is why Unisys is overhauling its whole business : It needs to prepare for a world in which profit margins will be lower than computer companies have been used to . ",needs is the cause of overhauling ,needs ,overhauling ,Cause-Effect
 causal </s></s> unrelated </s></s> And Unisys is expected to do little better than break even in the fourth quarter . So Steve Milunovich at First Boston said he is cutting his earnings estimate for next year to $ 2 a share from $ 3. ,expected is the cause of cutting ,expected ,cutting ,Cause-Effect
" causal </s></s> unrelated </s></s> In addition , Unisys set up an unspecified reserve -- apparently $ 60 million to $ 70 million -- to cover the minimum amount it will have to pay the government because of its involvement in the defense-procurement scandal . The company also took a write-off of $ 150 million to cover losses on some fixed-price defense contracts , as some new managers took a hard look at the prospects for that slow-growing business . ",cover has no relation to writeoff ,cover ,writeoff ,NONE
" causal </s></s> unrelated </s></s> "" Unisys is getting clobbered . Unisys also noted that it paid $ 78.8 million in taxes during the quarter , even though tax payments normally would be minimal in a quarter that produced such a big loss . ",clobbered has no relation to noted ,clobbered ,noted ,NONE
" causal </s></s> unrelated </s></s> Unisys said that should help it save $ 500 million a year in costs , again at the high end of the previously reported range of $ 400 million to $ 500 million . The tax payments will leave Unisys with $ 225 million in loss carry-forwards that will cut tax payments in future quarters . ",said has no relation to leave ,said ,leave ,NONE
" causal </s></s> unrelated </s></s> That , he said , is why Unisys is overhauling its whole business : It needs to prepare for a world in which profit margins will be lower than computer companies have been used to . So Steve Milunovich at First Boston said he is cutting his earnings estimate for next year to $ 2 a share from $ 3. ",needs has no relation to said ,needs ,said ,NONE
" causal </s></s> unrelated </s></s> Just clobbered , "" said Ulric Weil , an analyst at Weil amp Associates who had once been high on the company . ",said has no relation to high ,said ,high ,NONE
" causal </s></s> unrelated </s></s> That , he said , is why Unisys is overhauling its whole business : It needs to prepare for a world in which profit margins will be lower than computer companies have been used to . But we do n't minimize the challenges of the near term . "" ",lower has no relation to minimize ,lower ,minimize ,NONE
 causal </s></s> unrelated </s></s> London shares were depressed initially by overnight losses in New York and by the drop in sterling after Mr. Lawson 's resignation . ,losses is the cause of depressed ,losses ,depressed ,Cause-Effect
 causal </s></s> unrelated </s></s> London shares were depressed initially by overnight losses in New York and by the drop in sterling after Mr. Lawson 's resignation . ,drop is the cause of depressed ,drop ,depressed ,Cause-Effect
" causal </s></s> unrelated </s></s> The Financial Times 100-share index shed 47.3 points to close at 2082.1 , down 4.5 % from the previous Friday and 6.8 % from Oct . 13 , when Wall Street 's plunge helped spark the current weakness in London . ",plunge is the cause of spark ,plunge ,spark ,Cause-Effect
" causal </s></s> unrelated </s></s> Dealers said the turnover , largely confined to the 100-share index stocks , partly reflected the flurry of activity typical at the close of a two-week trading account and the start of a new account . ",turnover is the cause of flurry ,turnover ,flurry ,Cause-Effect
 causal </s></s> unrelated </s></s> But they said Friday 's focus on the top-tier stocks telegraphed active overseas selling and showed the broad-based fears over the status of the U.K. economy and Britain 's currency in the wake of the upheaval in Prime Minister Margaret Thatcher 's cabinet . ,upheaval is the cause of showed ,upheaval ,showed ,Cause-Effect
 causal </s></s> unrelated </s></s> But they said Friday 's focus on the top-tier stocks telegraphed active overseas selling and showed the broad-based fears over the status of the U.K. economy and Britain 's currency in the wake of the upheaval in Prime Minister Margaret Thatcher 's cabinet . ,upheaval is the cause of selling ,upheaval ,selling ,Cause-Effect
 causal </s></s> unrelated </s></s> But they said Friday 's focus on the top-tier stocks telegraphed active overseas selling and showed the broad-based fears over the status of the U.K. economy and Britain 's currency in the wake of the upheaval in Prime Minister Margaret Thatcher 's cabinet . British Gas shed 8.5 pence a share to close at 185 pence ( $ 2.90 ) . ,showed has no relation to shed ,showed ,shed ,NONE
" causal </s></s> unrelated </s></s> London share prices closed sharply lower Friday in active trading after Chancellor of the Exchequer Nigel Lawson 's resignation slapped the market and Wall Street 's rapid initial sell-off knocked it down . The Financial Times 100-share index shed 47.3 points to close at 2082.1 , down 4.5 % from the previous Friday and 6.8 % from Oct . 13 , when Wall Street 's plunge helped spark the current weakness in London . ",knocked has no relation to plunge ,knocked ,plunge ,NONE
" causal </s></s> unrelated </s></s> He attributed the unusually high volume to broad-based selling on fears that the Thatcher government may be in turmoil and Britain 's Labor Party positioned to regain control of the government and renew efforts at nationalization . Share prices also closed lower in Sydney , Hong Kong , Singapore , Taipei , Manila , Wellington and Seoul . ",selling has no relation to closed ,selling ,closed ,NONE
 causal </s></s> unrelated </s></s> Dealers placed heavy buy orders in the morning to start the first trading day for November transactions . London shares were depressed initially by overnight losses in New York and by the drop in sterling after Mr. Lawson 's resignation . ,placed has no relation to losses ,placed ,losses ,NONE
 causal </s></s> unrelated </s></s> London share prices closed sharply lower Friday in active trading after Chancellor of the Exchequer Nigel Lawson 's resignation slapped the market and Wall Street 's rapid initial sell-off knocked it down . Traders said that selling pressure was n't enormous and that the DAX dropped Friday more on a lack of any substantial buying interest . ,knocked has no relation to said ,knocked ,said ,NONE
" causal </s></s> unrelated </s></s> Dealers said the turnover , largely confined to the 100-share index stocks , partly reflected the flurry of activity typical at the close of a two-week trading account and the start of a new account . Elsewhere , share prices closed lower in Paris , Zurich , Amsterdam , Brussels and Stockholm , and were mixed in Milan . ",turnover has no relation to mixed ,turnover ,mixed ,NONE
" causal </s></s> unrelated </s></s> The reason , they remember Richard Jewell . Publicly , they are unwilling to make any sweeping assertion . ",remember is the cause of unwilling ,remember ,unwilling ,Cause-Effect
" causal </s></s> unrelated </s></s> And this week , FBI director Louie Freeh assigned more agents to the search . The reason , authorities have discovered tantalizing new evidence . ",assigned has no relation to discovered ,assigned ,discovered ,NONE
" causal </s></s> unrelated </s></s> Thomson , in India to talk to tourism leaders , said the flights would provide extra support to the growing tourism market . ",flights is the cause of support ,flights ,support ,Cause-Effect
" causal </s></s> unrelated </s></s> Thomson , in India to talk to tourism leaders , said the flights would provide extra support to the growing tourism market . ",said has no relation to provide ,said ,provide ,NONE
 causal </s></s> unrelated </s></s> He added one more today . Yesterday New York governor George Pataki toured five counties that have been declared under a state of emergency . ,added has no relation to declared ,added ,declared ,NONE
 causal </s></s> unrelated </s></s> Courtaulds ' spinoff reflects pressure on British industry to boost share prices beyond the reach of corporate raiders . ,spinoff is the cause of pressure ,spinoff ,pressure ,Cause-Effect
" causal </s></s> unrelated </s></s> Courtaulds ' restructuring is among the largest thus far in Britain , though it is dwarfed by B.A.T Industries PLC 's plans to spin roughly off # 4 billion in assets to help fend off a takeover bid from Anglo - French financier Sir James Goldsmith . ",spin is the cause of fend ,spin ,fend ,Cause-Effect
" causal </s></s> unrelated </s></s> Some analysts have said Courtaulds ' moves could boost the company 's value by 5 % to 10 % , because the two entities separately will carry a higher price earnings multiple than they did combined . ",carry is the cause of boost ,carry ,boost ,Cause-Effect
" causal </s></s> unrelated </s></s> In addition , Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities . ",allow is the cause of logical ,allow ,logical ,Cause-Effect
 causal </s></s> unrelated </s></s> Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year . ,surfaced is the cause of enhance ,surfaced ,enhance ,Cause-Effect
" causal </s></s> unrelated </s></s> Investors welcomed the move . Courtaulds ' restructuring is among the largest thus far in Britain , though it is dwarfed by B.A.T Industries PLC 's plans to spin roughly off # 4 billion in assets to help fend off a takeover bid from Anglo - French financier Sir James Goldsmith . ",welcomed has no relation to restructuring ,welcomed ,restructuring ,NONE
" causal </s></s> unrelated </s></s> Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year . Even without a specific takeover threat , Courtaulds is giving shareholders "" choice and value , "" said Julia Blake , an analyst at London stockbrokers Barclays de Zoete Wedd . ",enhance has no relation to said ,enhance ,said ,NONE
" causal </s></s> unrelated </s></s> Even without a specific takeover threat , Courtaulds is giving shareholders "" choice and value , "" said Julia Blake , an analyst at London stockbrokers Barclays de Zoete Wedd . ",said has no relation to giving ,said ,giving ,NONE
" causal </s></s> unrelated </s></s> In addition , Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities . Courtaulds PLC announced plans to spin off its textiles operations to existing shareholders in a restructuring to boost shareholder value . ",focus has no relation to announced ,focus ,announced ,NONE
" causal </s></s> unrelated </s></s> Some analysts have said Courtaulds ' moves could boost the company 's value by 5 % to 10 % , because the two entities separately will carry a higher price earnings multiple than they did combined . Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year . ",combined has no relation to under ,combined ,under ,NONE
" causal </s></s> unrelated </s></s> The city could have used some special protection in nineteen seventy-nine when the Soviet Union invaded Afghanistan . Even though this city is in Afghanistan , most people here speak a dialect of the Persian language , and have long standing cultural ties with neighboring Iran . ",used has no relation to have ,used ,have ,NONE
 causal </s></s> unrelated </s></s> Each of the Class C warrants will enable the holders to purchase one share of common stock at $ 5.50 . AVON RENT-A-CAR amp TRUCK Corp. said it declared a dividend of one warrant for each three shares of common stock . ,enable has no relation to declared ,enable ,declared ,NONE
" causal </s></s> unrelated </s></s> As part of the agreement , Cilcorp said it will pay Hunter $ 4 million in exchange for agreements not to compete . ",agreements is the cause of pay ,agreements ,pay ,Cause-Effect
" causal </s></s> unrelated </s></s> As part of the agreement , Cilcorp said it will pay Hunter $ 4 million in exchange for agreements not to compete . Separately , Cilcorp said it plans to purchase as many as 1.4 million shares , or 10 % of its common stock outstanding from time to time on the open market and through privately negotiated transactions . ",pay has no relation to plans ,pay ,plans ,NONE
" causal </s></s> unrelated </s></s> Ogden Projects Inc. said net income jumped to $ 6.6 million , or 18 cents a share , in the third quarter . ",jumped has no relation to said ,jumped ,said ,NONE
 causal </s></s> unrelated </s></s> Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran . ,ceasefire is the cause of talks ,ceasefire ,talks ,Cause-Effect
 causal </s></s> unrelated </s></s> In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad . ,drain is the cause of callup ,drain ,callup ,Cause-Effect
 causal </s></s> unrelated </s></s> A steep rise in world oil prices followed the Kuwait invasion . ,invasion is the cause of rise ,invasion ,rise ,Cause-Effect
 causal </s></s> unrelated </s></s> The U.N. Security Council on Aug . 6 ordered a global embargo on trade with Iraq as punishment for seizing Kuwait . ,seizing is the cause of ordered ,seizing ,ordered ,Cause-Effect
" causal </s></s> unrelated </s></s> A CBS News report citing unidentified Jordanian sources said that Saddam 's message called for an international conference to be convened to discuss an Iraqi withdrawal from Kuwait . In exchange , the buildup of U.S. forces in the region would halt . ",withdrawal is the cause of halt ,withdrawal ,halt ,Cause-Effect
" causal </s></s> unrelated </s></s> Bush , however , says he sees no short-term hope for a diplomatic solution to the gulf crisis _ at least until economic sanctions force Saddam to withdraw his army . ",sanctions is the cause of withdraw ,sanctions ,withdraw ,Cause-Effect
 causal </s></s> unrelated </s></s> The embargo is meant to cripple Iraq by cutting off its exports of oil and imports of food and military supplies . ,cutting is the cause of cripple ,cutting ,cripple ,Cause-Effect
 causal </s></s> unrelated </s></s> U.S. allies and other U.N. members have objected that the Security Council embargo resolution did not specifically authorize such a naval operation . ,resolution is the cause of operation ,resolution ,operation ,Cause-Effect
 causal </s></s> unrelated </s></s> Iraq said it invaded Kuwait because of disputes over oil and money . ,disputes is the cause of invaded ,disputes ,invaded ,Cause-Effect
" causal </s></s> unrelated </s></s> It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices , among other charges . ",overproducing is the cause of slashing ,overproducing ,slashing ,Cause-Effect
" causal </s></s> unrelated </s></s> It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices , among other charges . ",driving is the cause of slashing ,driving ,slashing ,Cause-Effect
" causal </s></s> unrelated </s></s> President Bush today denounced Saddam 's "" ruinous policies of war , "" and said the United States is "" striking a blow for the principle that might does not make right . "" The embargo is meant to cripple Iraq by cutting off its exports of oil and imports of food and military supplies . ",said has no relation to cripple ,said ,cripple ,NONE
" causal </s></s> unrelated </s></s> Also today , King Hussein of Jordan arrived in Washington seeking to mediate the Persian Gulf crisis . The outlook darkened for about 3,000 Americans caught in Iraq and Kuwait when Saddam sent his forces into the small , oil-rich sultanate . ",seeking has no relation to darkened ,seeking ,darkened ,NONE
" causal </s></s> unrelated </s></s> Iran said an Iraqi diplomatic delegation was en route to Tehran to deliver Saddam 's message , which it said it would review "" with optimism . "" Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran . ",deliver has no relation to accept ,deliver ,accept ,NONE
" causal </s></s> unrelated </s></s> Bush , however , says he sees no short-term hope for a diplomatic solution to the gulf crisis _ at least until economic sanctions force Saddam to withdraw his army . In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad . ",sanctions has no relation to said ,sanctions ,said ,NONE
" causal </s></s> unrelated </s></s> Bush can call up to 200,000 reservists for up to 180 days without seeking congressional approval . Turkey and Saudi Arabia in effect shut down Iraq 's major oil outlets through those countries , but according to Jordanian officials , a smaller line into Jordan remained operating . ",seeking has no relation to operating ,seeking ,operating ,NONE
" causal </s></s> unrelated </s></s> Iraq 's Saddam Hussein , facing U.S. and Arab troops at the Saudi border , today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran - Iraq war . In a speech delivered at the Pentagon , Bush seemed to suggest that American forces could be in the gulf region for some time . ",war has no relation to seemed ,war ,seemed ,NONE
" causal </s></s> unrelated </s></s> In an interview from Jordan on ABC , he declined to discuss details , but said : "" I do n't think that his majesty would be traveling at this crucial moment if the Iraqi leadership did not have a rational approach to the future . "" Iraq 's Saddam Hussein , facing U.S. and Arab troops at the Saudi border , today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran - Iraq war . ",traveling has no relation to facing ,traveling ,facing ,NONE
" causal </s></s> unrelated </s></s> Iraq 's Saddam Hussein , facing U.S. and Arab troops at the Saudi border , today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran - Iraq war . Soviet officials also said Soviet women , children and invalids would be allowed to leave Iraq . ",sought has no relation to leave ,sought ,leave ,NONE
" causal </s></s> unrelated </s></s> Twelve Arab League nations voted for an Arab force to protect Saudi Arabia , with the vanguard of Syria 's contingent arriving Tuesday , according to diplomatic sources in Riyadh , the Saudi capital . Iran said an Iraqi diplomatic delegation was en route to Tehran to deliver Saddam 's message , which it said it would review "" with optimism . "" ",protect has no relation to review ,protect ,review ,NONE
" causal </s></s> unrelated </s></s> The move seemed aimed at heading off more trouble with Iran , which had condemned Iraq 's invasion of Kuwait on Aug . 2 but also criticized the multinational force dispatched to Saudi Arabia . The Soviet Foreign Ministry said Soviet women , children and invalids would be permitted to leave Iraq . ",heading has no relation to said ,heading ,said ,NONE
" causal </s></s> unrelated </s></s> The Iraqi ambassador to Venezuela said on Tuesday that Iraq would retaliate against Venezuela and other OPEC oil cartel members if they boost oil production to fill the gap created by blocked supplies from Iraq and Kuwait . In a letter to President Hashemi Rafsanjani of Iran , read by a broadcaster over Baghdad radio , Saddam said he will begin withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war . ",said has no relation to withdrawing ,said ,withdrawing ,NONE
 causal </s></s> unrelated </s></s> The slowdown raises questions about the economy 's strength because spending fueled much of the third-quarter GNP growth . ,fueled is the cause of raises ,fueled ,raises ,Cause-Effect
 causal </s></s> unrelated </s></s> Unisys posted a $ 648.2 million loss for the third quarter as it moved quickly to take write-offs for various problems and prepare for a turnaround . ,moved is the cause of posted ,moved ,posted ,Cause-Effect
 causal </s></s> unrelated </s></s> The accord helps RJR pay off debt and boosts Nestle 's 7 % share of the U.S. candy market to 12 % . ,helps is the cause of boosts ,helps ,boosts ,Cause-Effect
 causal </s></s> unrelated </s></s> Nashua strengthened its poison-pill plan after announcing a Dutch firm is seeking to buy up to 25 % of the New Hampshire copier company . ,announcing has no relation to plan ,announcing ,plan ,NONE
 causal </s></s> unrelated </s></s> The slowdown raises questions about the economy 's strength because spending fueled much of the third-quarter GNP growth . Unisys posted a $ 648.2 million loss for the third quarter as it moved quickly to take write-offs for various problems and prepare for a turnaround . ,fueled has no relation to take ,fueled ,take ,NONE
" causal </s></s> unrelated </s></s> Bowing to criticism , Bear Stearns , Morgan Stanley and Oppenheimer joined PaineWebber in suspending stock-index arbitrage trading for their own accounts . Still , stock-index funds are expected to continue launching big programs through the market . ",suspending has no relation to programs ,suspending ,programs ,NONE
 causal </s></s> unrelated </s></s> But even continued military success carries political and diplomatic risks for President Bush and the U.S. ,success is the cause of risks ,success ,risks ,Cause-Effect
 causal </s></s> unrelated </s></s> The allied rejection of the last-minute Soviet-led diplomatic effort to avoid the ground war enabled Mr. Bush to seize the initiative from an Iraq seemingly bent on dictating peace terms . ,rejection is the cause of seize ,rejection ,seize ,Cause-Effect
" causal </s></s> unrelated </s></s> Nevertheless , American officials over the weekend became more open in declaring that by destroying Saddam Hussein 's military machine they hope to destroy his regime -- a goal likely to be supported by most Americans . ",destroying is the cause of destroy ,destroying ,destroy ,Cause-Effect
" causal </s></s> unrelated </s></s> Secretary of State James Baker said on ABC - TV 's "" This Week With David Brinkley "" that the series of United Nations resolutions condemning Iraq 's invasion of Kuwait "" imply that the restoration of peace and stability in the Gulf would be a heck of a lot easier if he and that leadership were not in power in Iraq . "" ",condemning is the cause of easier ,condemning ,easier ,Cause-Effect
 causal </s></s> unrelated </s></s> Iraq still has the potential to cause significant problems by using forces and weapons that do n't yet seem fully engaged . ,using is the cause of problems ,using ,problems ,Cause-Effect
" causal </s></s> unrelated </s></s> Despite these early successes , the mere fact that a ground campaign has begun almost guarantees that the Bush administration will face fresh problems growing out of the military situation . ",begun is the cause of face ,begun ,face ,Cause-Effect
 causal </s></s> unrelated </s></s> The Bush administration considers the sanctions essential to keeping Saddam Hussein under control should he survive the war . ,sanctions is the cause of keeping ,sanctions ,keeping ,Cause-Effect
" causal </s></s> unrelated </s></s> Mr. Bush forestalled further diplomatic maneuvering by issuing an ultimatum on behalf of the allies demanding that Iraq withdraw within a week , starting at noon Saturday . ",issuing is the cause of forestalled ,issuing ,forestalled ,Cause-Effect
" causal </s></s> unrelated </s></s> After cabling world leaders about his intention to give Saddam Hussein a final deadline to exit Kuwait , he offered him a week to withdraw fully , instead of the four days he originally considered , because of objections from some European partners that four days seemed punitive and unrealistic . ",objections is the cause of offered ,objections ,offered ,Cause-Effect
" causal </s></s> unrelated </s></s> Meanwhile , the U.S. hopes , economic sanctions and an international arms embargo will remain in effect until Iraq pays war reparations to Kuwait to cover war damages . That would undermine any chances of rebuilding either Iraq or its armed forces in short order as long as Saddam Hussein remains in power . ",embargo is the cause of rebuilding ,embargo ,rebuilding ,Cause-Effect
" causal </s></s> unrelated </s></s> If that 's true , the narrowing of his support would make it easier for someone to push him aside from within . ",narrowing is the cause of push ,narrowing ,push ,Cause-Effect
" causal </s></s> unrelated </s></s> Yet , paradoxically , the perception that the U.S. wants to destroy Iraq may increase Saddam Hussein 's support within the Iraqi military . ",wants is the cause of support ,wants ,support ,Cause-Effect
" causal </s></s> unrelated </s></s> In a pre-attack message , Lt. Gen. Walter Boomer , the top Marine in the Persian Gulf , told U.S. Marines that their goal is to "" restore { Kuwait } to its citizens . "" Finally , when Iraq failed to respond to the U.S. ultimatum , Mr. Bush let the ground offensive begin as previously planned Saturday night . ",told has no relation to let ,told ,let ,NONE
" causal </s></s> unrelated </s></s> Despite the lack of any obvious successors , the Iraqi leader 's internal power base appeared to be narrowing even before the war began . Despite the early indications of success , the allied forces could still suffer greater casualties and become bogged down militarily , especially when they encounter the tough Republican Guard , which is entrenched along the Iraq - Kuwait border . ",began has no relation to entrenched ,began ,entrenched ,NONE
" causal </s></s> unrelated </s></s> "" So far , the offensive is progressing with dramatic success , "" said a buoyant Gen. Norman Schwarzkopf , commander of U.S. forces . Nevertheless , American officials over the weekend became more open in declaring that by destroying Saddam Hussein 's military machine they hope to destroy his regime -- a goal likely to be supported by most Americans . ",said has no relation to open ,said ,open ,NONE
" causal </s></s> unrelated </s></s> Finally , when Iraq failed to respond to the U.S. ultimatum , Mr. Bush let the ground offensive begin as previously planned Saturday night . Despite the lack of any obvious successors , the Iraqi leader 's internal power base appeared to be narrowing even before the war began . ",offensive has no relation to began ,offensive ,began ,NONE
" causal </s></s> unrelated </s></s> American war planners have long assumed that the early stage of the ground attack , in which American forces would use their speed to sweep around Iraqi defenses and their strength to punch through the relatively weak Iraqi front line , would be the easiest part . Nevertheless , American officials over the weekend became more open in declaring that by destroying Saddam Hussein 's military machine they hope to destroy his regime -- a goal likely to be supported by most Americans . ",sweep has no relation to open ,sweep ,open ,NONE
" causal </s></s> unrelated </s></s> The decision was made after Defense Secretary Dick Cheney and Gen. Colin Powell , chairman of the Joint Chiefs of Staff , returned from a visit with military commanders in Saudi Arabia , administration officials say . U.S. and Kuwaiti officials say there are reports that large numbers of civilians from Kuwait City are being rounded up and held by Iraqi troops , apparently either for use as human shields or for use later in bargaining once the war is over . ",visit has no relation to say ,visit ,say ,NONE
" causal </s></s> unrelated </s></s> Meanwhile , the U.S. hopes , economic sanctions and an international arms embargo will remain in effect until Iraq pays war reparations to Kuwait to cover war damages . And when he and President Gorbachev spoke about the decision in a talk lasting nearly an hour , the President took pains to listen to what his counterpart had to say , although he already had decided that the Soviet alternative to the allied deadline was unacceptable . ",remain has no relation to listen ,remain ,listen ,NONE
" causal </s></s> unrelated </s></s> Despite these early successes , the mere fact that a ground campaign has begun almost guarantees that the Bush administration will face fresh problems growing out of the military situation . The Bush administration considers the sanctions essential to keeping Saddam Hussein under control should he survive the war . ",growing has no relation to considers ,growing ,considers ,NONE
" causal </s></s> unrelated </s></s> Despite the early indications of success , the allied forces could still suffer greater casualties and become bogged down militarily , especially when they encounter the tough Republican Guard , which is entrenched along the Iraq - Kuwait border . Despite the lack of any obvious successors , the Iraqi leader 's internal power base appeared to be narrowing even before the war began . ",bogged has no relation to appeared ,bogged ,appeared ,NONE
" causal </s></s> unrelated </s></s> Perhaps more important , it appears that allied troops have n't yet fully engaged Iraq 's vaunted Republican Guard , which has been sitting just north of the Iraq - Kuwait border and is considered the most potent element in the Iraqi defense . Now , he says , "" it looks like the West just wants to destroy Iraq . "" ",sitting has no relation to says ,sitting ,says ,NONE
" causal </s></s> unrelated </s></s> Finally , when Iraq failed to respond to the U.S. ultimatum , Mr. Bush let the ground offensive begin as previously planned Saturday night . And when he and President Gorbachev spoke about the decision in a talk lasting nearly an hour , the President took pains to listen to what his counterpart had to say , although he already had decided that the Soviet alternative to the allied deadline was unacceptable . ",offensive has no relation to spoke ,offensive ,spoke ,NONE
" causal </s></s> unrelated </s></s> There are likely to be additional American prisoners of war taken , and there are signs that President Hussein is taking Kuwaiti hostages . Mr. Bush forestalled further diplomatic maneuvering by issuing an ultimatum on behalf of the allies demanding that Iraq withdraw within a week , starting at noon Saturday . ",taking has no relation to withdraw ,taking ,withdraw ,NONE
" causal </s></s> unrelated </s></s> Not that long ago , before the Chinese takeover , the news about real estate here was that the sky was the limit the highest prices in the world . So when Wong Kwan spent seventy million dollars for this house , he thought it was a great deal . ",was is the cause of thought ,was ,thought ,Cause-Effect
